SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
09011;864;886;246;191;934;379;1537;15;198
09013;904;988;324;194;1055;319;1515;32;345
09014;1095;927;296;175;1191;360;1530;104;388
09015;895;926;276;176;1042;327;1512;37;272
09016;656;738;148;121;844;281;1342;7;45
09017;740;775;246;148;847;274;1403;23;89
09018;711;761;219;95;792;366;1426;6;40
09019;1162;1212;323;228;1475;348;2256;29;89
09020;528;605;124;84;561;364;1077;11;45
09021;645;713;160;116;754;328;1271;15;72
09022;567;630;141;111;654;291;1128;21;48
09023;581;631;168;110;713;221;1132;23;57
09024;516;636;155;84;591;322;1088;13;51
09025;535;627;145;86;676;255;1064;15;83
09026;727;821;180;125;894;349;1424;32;92
09027;644;688;124;120;786;302;1285;9;38
09028;794;837;400;125;927;179;1608;10;13
09029;560;601;141;101;624;295;1098;14;49
09030;690;808;295;90;819;294;1445;13;40
09031;562;617;243;118;624;194;1148;14;17
09032;1009;1135;415;181;1266;282;1883;51;210
09033;1551;1660;400;273;1918;620;2870;66;275
09034;657;756;163;99;764;387;1255;19;139
09035;722;826;187;133;868;360;1394;32;122
09036;655;753;146;128;790;344;1339;10;59
09037;678;764;172;135;812;323;1242;20;180
09038;745;834;227;127;877;348;1458;22;99
09039;743;811;193;126;919;316;1466;28;60
09040;699;829;236;130;833;329;1388;29;111
09041;652;777;201;112;769;347;1297;47;85
09042;578;664;149;82;706;305;1105;25;112
09043;631;721;168;102;739;343;1225;37;90
09044;704;756;170;129;856;305;1359;31;70
09045;670;763;185;122;770;356;1314;26;93
09046;608;687;160;93;743;299;1194;25;76
09047;717;802;184;116;905;314;1408;23;88
09048;687;745;179;112;797;344;1292;23;117
09049;582;698;145;122;700;313;1122;8;150
09050;729;840;194;127;871;377;1436;34;99
09051;575;653;152;107;679;290;1113;31;84
09052;571;614;144;88;656;297;1103;17;65
09053;718;877;204;129;836;426;1478;29;88
09054;520;612;110;100;593;329;1029;11;92
09055;815;923;207;151;961;419;1456;39;243
09056;524;615;100;72;601;366;1054;15;70
